,assets,income_type,policy,income_value,consumption
217,-1.9377199504471658,low,-2.0514061497017813,-0.3347810082152974,-0.21601337531193154
218,-1.9308296476950662,low,-2.0448956849507187,-0.3347810082152974,-0.21565160628739743
219,-1.9239163236893666,low,-2.0383634680262777,-0.3347810082152974,-0.2152886285530653
220,-1.9169799015135456,low,-2.031809426252073,-0.3347810082152974,-0.21492443807050154
221,-1.910020303994095,low,-2.0252334867089,-0.3347810082152974,-0.2145590307877825
222,-1.9030374536996626,low,-2.0186355762339216,-0.3347810082152974,-0.21419240263944594
223,-1.8960312729401894,low,-2.012015621419857,-0.3347810082152974,-0.2138245495464468
224,-1.8890016837660446,low,-2.0053735486141617,-0.3347810082152974,-0.2134554674161122
225,-1.8819486079671597,low,-1.9987092839182132,-0.3347810082152974,-0.21308515214209223
226,-1.8748719670721576,low,-1.992022753186483,-0.3347810082152974,-0.21271359960432035
227,-1.8677716823474806,low,-1.9853138820257148,-0.3347810082152974,-0.21234080566896374
228,-1.8606476747965126,low,-1.978582595794097,-0.3347810082152974,-0.21196676618837706
229,-1.853499865158701,low,-1.9718288196004314,-0.3347810082152974,-0.21159147700105718
230,-1.846328173908676,low,-1.9650524783032997,-0.3347810082152974,-0.2112149339315983
231,-1.8391325212553644,low,-1.9582534965102276,-0.3347810082152974,-0.21083713279064353
232,-1.8319128271411027,low,-1.9514317985768481,-0.3347810082152974,-0.2104580693748379
233,-1.8246690112407449,low,-1.9445873086060552,-0.3347810082152974,-0.21007773946678432
234,-1.817400992960771,low,-1.9377199504471658,-0.3347810082152974,-0.2096961388349925
235,-1.8101086914383888,low,-1.9308296476950662,-0.3347810082152974,-0.20931326323383637
236,-1.8027920255406356,low,-1.9239163236893666,-0.3347810082152974,-0.20892910840350476
237,-1.7954509138634727,low,-1.9169799015135456,-0.3347810082152974,-0.20854367006995256
238,-1.788085274730883,low,-1.910020303994095,-0.3347810082152974,-0.2081569439448563
239,-1.7806950261939614,low,-1.9030374536996626,-0.3347810082152974,-0.2077689257255635
240,-1.7732800860300006,low,-1.8960312729401894,-0.3347810082152974,-0.20737961109504566
241,-1.7658403717415805,low,-1.8890016837660446,-0.3347810082152974,-0.20698899572185203
242,-1.7583758005556462,low,-1.8819486079671597,-0.3347810082152974,-0.206597075260059
243,-1.7508862894225907,low,-1.8748719670721576,-0.3347810082152974,-0.20620384534922387
244,-1.7433717550153283,low,-1.8677716823474806,-0.3347810082152974,-0.20580930161433386
245,-1.7358321137283674,low,-1.8606476747965126,-0.3347810082152974,-0.20541343966575853
246,-1.7282672816768838,low,-1.853499865158701,-0.3347810082152974,-0.20501625509920407
247,-1.720677174695783,low,-1.846328173908676,-0.3347810082152974,-0.2046177434956582
248,-1.713061708338766,low,-1.8391325212553644,-0.3347810082152974,-0.2042179004213458
249,-1.70542079787739,low,-1.8319128271411027,-0.3347810082152974,-0.20381672142767737
250,-1.6977543583001249,low,-1.8246690112407449,-0.3347810082152974,-0.2034142020512002
251,-1.6900623043114087,low,-1.817400992960771,-0.3347810082152974,-0.20301033781355082
252,-1.6823445503306953,low,-1.8101086914383888,-0.3347810082152974,-0.2026051242213991
253,-1.6746010104915077,low,-1.8027920255406356,-0.3347810082152974,-0.20219855676640508
254,-1.666831598640477,low,-1.7954509138634727,-0.3347810082152974,-0.20179063092516558
255,-1.659036228336388,low,-1.788085274730883,-0.3347810082152974,-0.2013813421591637
256,-1.651214812849216,low,-1.7806950261939614,-0.3347810082152974,-0.2009706859147189
257,-1.6433672651591604,low,-1.7732800860300006,-0.3347810082152974,-0.2005586576229368
258,-1.6354934979556797,low,-1.7658403717415805,-0.3347810082152974,-0.200145252699657
259,-1.627593423636517,low,-1.7583758005556462,-0.3347810082152974,-0.1997304665454036
260,-1.6196669543067284,low,-1.7508862894225907,-0.3347810082152974,-0.19931429454533367
261,-1.6117140017777012,low,-1.7433717550153283,-0.3347810082152974,-0.19889673206918412
262,-1.6037344775661762,low,-1.7358321137283674,-0.3347810082152974,-0.1984777744712234
263,-1.595728292893262,low,-1.7282672816768838,-0.3347810082152974,-0.19805741709019675
264,-1.5876953586834461,low,-1.720677174695783,-0.3347810082152974,-0.1976356552492755
265,-1.5796355855636075,low,-1.713061708338766,-0.3347810082152974,-0.19721248425600768
266,-1.5715488838620173,low,-1.70542079787739,-0.3347810082152974,-0.1967878994022605
267,-1.5634351636073442,low,-1.6977543583001249,-0.3347810082152974,-0.19636189596417153
268,-1.5552943345276535,low,-1.6900623043114087,-0.3347810082152974,-0.19593446920209479
269,-1.5471263060494023,low,-1.6823445503306953,-0.3347810082152974,-0.19550561436055203
270,-1.5389309872964305,low,-1.6746010104915077,-0.3347810082152974,-0.19507532666817173
271,-1.5307082870889515,low,-1.666831598640477,-0.3347810082152974,-0.1946436013376438
272,-1.5224581139425366,low,-1.659036228336388,-0.3347810082152974,-0.1942104335656616
273,-1.5141803760670984,low,-1.651214812849216,-0.3347810082152974,-0.19377581853287063
274,-1.505874981365869,low,-1.6433672651591604,-0.3347810082152974,-0.19333975140381598
275,-1.4975418374343739,low,-1.6354934979556797,-0.3347810082152974,-0.19290222732688433
276,-1.4891808515594058,low,-1.627593423636517,-0.3347810082152974,-0.19246324143425442
277,-1.4807919307179924,low,-1.6196669543067284,-0.3347810082152974,-0.1920227888418391
278,-1.4723749815763618,low,-1.6117140017777012,-0.3347810082152974,-0.1915808646492354
279,-1.463929910488904,low,-1.6037344775661762,-0.3347810082152974,-0.1911374639396668
280,-1.455456623497128,low,-1.595728292893262,-0.3347810082152974,-0.19069258177992854
281,-1.4469550263286175,low,-1.5876953586834461,-0.3347810082152974,-0.1902462132203342
282,-1.4384250243959817,low,-1.5796355855636075,-0.3347810082152974,-0.18979835329465855
283,-1.4298665227958032,low,-1.5715488838620173,-0.3347810082152974,-0.189348997020085
284,-1.4212794263075823,low,-1.5634351636073442,-0.3347810082152974,-0.18889813939714983
285,-1.4126636393926768,low,-1.5552943345276535,-0.3347810082152974,-0.18844577540968355
286,-1.4040190661932392,low,-1.5471263060494023,-0.3347810082152974,-0.1879919000247574
287,-1.39534561053115,low,-1.5389309872964305,-0.3347810082152974,-0.18753650819262702
288,-1.3866431759069502,low,-1.5307082870889515,-0.3347810082152974,-0.18707959484667835
289,-1.3779116654987638,low,-1.5224581139425366,-0.3347810082152974,-0.18662115490336717
290,-1.369150982161222,low,-1.5141803760670984,-0.3347810082152974,-0.18616118326216435
291,-1.3603610284243843,low,-1.505874981365869,-0.3347810082152974,-0.1856996748055002
292,-1.3515417064926512,low,-1.4975418374343739,-0.3347810082152974,-0.18523662439870647
293,-1.3426929182436784,low,-1.4891808515594058,-0.3347810082152974,-0.18477202688996042
294,-1.3338145652272835,low,-1.4807919307179924,-0.3347810082152974,-0.18430587711022528
295,-1.3249065486643508,low,-1.4723749815763618,-0.3347810082152974,-0.18383816987319324
296,-1.315968769445734,low,-1.463929910488904,-0.3347810082152974,-0.1833688999752301
297,-1.3070011281311515,low,-1.455456623497128,-0.3347810082152974,-0.1828980621953149
298,-1.298003524948081,low,-1.4469550263286175,-0.3347810082152974,-0.1824256512949829
299,-1.2889758597906504,low,-1.4384250243959817,-0.3347810082152974,-0.18195166201826796
300,-1.2799180322185206,low,-1.4298665227958032,-0.3347810082152974,-0.1814760890916416
301,-1.2708299414557724,low,-1.4212794263075823,-0.3347810082152974,-0.18099892722395605
302,-1.2617114863897823,low,-1.4126636393926768,-0.3347810082152974,-0.18052017110638596
303,-1.2525625655700994,low,-1.4040190661932392,-0.3347810082152974,-0.18003981541236924
304,-1.2433830772073144,low,-1.39534561053115,-0.3347810082152974,-0.1795578547975467
305,-1.2341729191719302,low,-1.3866431759069502,-0.3347810082152974,-0.1790742838997017
306,-1.2249319889932213,low,-1.3779116654987638,-0.3347810082152974,-0.1785890973387021
307,-1.2156601838580996,low,-1.369150982161222,-0.3347810082152974,-0.17810228971644326
308,-1.2063574006099649,low,-1.3603610284243843,-0.3347810082152974,-0.177613855616781
309,-1.1970235357475603,low,-1.3515417064926512,-0.3347810082152974,-0.17712378960547737
310,-1.1876584854238197,low,-1.3338145652272835,-0.3347810082152974,-0.18551043924653188
311,-1.1782621454447124,low,-1.3249065486643508,-0.3347810082152974,-0.18504675658308
312,-1.1688344112680853,low,-1.315968769445734,-0.3347810082152974,-0.18458152470523692
313,-1.159375178002497,low,-1.3070011281311515,-0.3347810082152974,-0.18411473843690773
314,-1.1498843404060537,low,-1.298003524948081,-0.3347810082152974,-0.18364639258470516
315,-1.1403617928852356,low,-1.2889758597906504,-0.3347810082152974,-0.18317648193788738
316,-1.130807429493724,low,-1.2799180322185206,-0.3347810082152974,-0.18270500126830624
317,-1.1212211439312227,low,-1.2708299414557724,-0.3347810082152974,-0.18223194533034404
318,-1.111602829542274,low,-1.2617114863897823,-0.3347810082152974,-0.18175730886085772
319,-1.101952379315072,low,-1.2525625655700994,-0.3347810082152974,-0.18128108657911746
320,-1.0922696858802734,low,-1.2433830772073144,-0.3347810082152974,-0.18080327318675216
321,-1.0825546415098026,low,-1.2341729191719302,-0.3347810082152974,-0.18032386336768735
322,-1.0728071381156523,low,-1.2249319889932213,-0.3347810082152974,-0.17984285178808856
